TOKEN STREAM                                                                                                                                                                                                                                             STACK                                   ACTION                                                            
[AS] [N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                         $ {sts} [NL] [SC] {e} [AS]              {st1} = [AS] {e}                                                  
[N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                              $ {sts} [NL] [SC] {e}                   match [AS]                                                        
[N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                              $ {sts} [NL] [SC] {e1} {ha} {t}         {e} = {t} {ha} {e1}                                               
[N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                              $ {sts} [NL] [SC] {e1} {ha} {ht} {f}    {t} = {f} {ht}                                                    
[N] [SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                              $ {sts} [NL] [SC] {e1} {ha} {ht} [N]    {f} = [N]                                                         
[SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                  $ {sts} [NL] [SC] {e1} {ha} {ht}        match [N]                                                         
[SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                  $ {sts} [NL] [SC] {e1} {ha} [~]         {ht} = [~]                                                        
[SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                  $ {sts} [NL] [SC] {e1} {ha}             epsilon pop [~]                                                   
[SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                  $ {sts} [NL] [SC] {e1} [~]              {ha} = [~]                                                        
[SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                  $ {sts} [NL] [SC] {e1}                  epsilon pop [~]                                                   
[SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                  $ {sts} [NL] [SC] [~]                   {e1} = [~]                                                        
[SC] [NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                  $ {sts} [NL] [SC]                       epsilon pop [~]                                                   
[NL] [T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                       $ {sts} [NL]                            match [SC]                                                        
[T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                            $ {sts}                                 match [NL]                                                        
[T] [DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                            $ {sts} [NL] [SC] {st} [T]              {sts} = [T] {st} [SC] [NL] {sts}                                  
[DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                $ {sts} [NL] [SC] {st}                  match [T]                                                         
[DT] [ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                $ {sts} [NL] [SC] {st1} [ID] [DT]       {st} = [DT] [ID] {st1}                                            
[ID] [AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                     $ {sts} [NL] [SC] {st1} [ID]            match [DT]                                                        
[AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                          $ {sts} [NL] [SC] {st1}                 match [ID]                                                        
[AS] [L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                          $ {sts} [NL] [SC] {e} [AS]              {st1} = [AS] {e}                                                  
[L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                               $ {sts} [NL] [SC] {e}                   match [AS]                                                        
[L] [SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                               $ {sts} [NL] [SC] [L]                   {e} = [L]                                                         
[SC] [NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                   $ {sts} [NL] [SC]                       match [L]                                                         
[NL] [T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                        $ {sts} [NL]                            match [SC]                                                        
[T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                             $ {sts}                                 match [NL]                                                        
[T] [DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                             $ {sts} [NL] [SC] {st} [T]              {sts} = [T] {st} [SC] [NL] {sts}                                  
[DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                 $ {sts} [NL] [SC] {st}                  match [T]                                                         
[DT] [ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                 $ {sts} [NL] [SC] {st1} [ID] [DT]       {st} = [DT] [ID] {st1}                                            
[ID] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                      $ {sts} [NL] [SC] {st1} [ID]            match [DT]                                                        
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                           $ {sts} [NL] [SC] {st1}                 match [ID]                                                        
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                           $ {sts} [NL] [SC] [~]                   {st1} = [~]                                                       
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                           $ {sts} [NL] [SC]                       epsilon pop [~]                                                   
[NL] [T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                $ {sts} [NL]                            match [SC]                                                        
[T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                     $ {sts}                                 match [NL]                                                        
[T] [ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                     $ {sts} [NL] [SC] {st} [T]              {sts} = [T] {st} [SC] [NL] {sts}                                  
[ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                         $ {sts} [NL] [SC] {st}                  match [T]                                                         
[ID] [AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                         $ {sts} [NL] [SC] {st2} [ID]            {st} = [ID] {st2}                                                 
[AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                              $ {sts} [NL] [SC] {st2}                 match [ID]                                                        
[AS] [N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                              $ {sts} [NL] [SC] {e} [AS]              {st2} = [AS] {e}                                                  
[N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                   $ {sts} [NL] [SC] {e}                   match [AS]                                                        
[N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                   $ {sts} [NL] [SC] {e1} {ha} {t}         {e} = {t} {ha} {e1}                                               
[N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                   $ {sts} [NL] [SC] {e1} {ha} {ht} {f}    {t} = {f} {ht}                                                    
[N] [SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                   $ {sts} [NL] [SC] {e1} {ha} {ht} [N]    {f} = [N]                                                         
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                       $ {sts} [NL] [SC] {e1} {ha} {ht}        match [N]                                                         
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                       $ {sts} [NL] [SC] {e1} {ha} [~]         {ht} = [~]                                                        
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                       $ {sts} [NL] [SC] {e1} {ha}             epsilon pop [~]                                                   
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                       $ {sts} [NL] [SC] {e1} [~]              {ha} = [~]                                                        
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                       $ {sts} [NL] [SC] {e1}                  epsilon pop [~]                                                   
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                       $ {sts} [NL] [SC] [~]                   {e1} = [~]                                                        
[SC] [NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                       $ {sts} [NL] [SC]                       epsilon pop [~]                                                   
[NL] [T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                            $ {sts} [NL]                            match [SC]                                                        
[T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                 $ {sts}                                 match [NL]                                                        
[T] [ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                 $ {sts} [NL] [SC] {st} [T]              {sts} = [T] {st} [SC] [NL] {sts}                                  
[ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                     $ {sts} [NL] [SC] {st}                  match [T]                                                         
[ID] [AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                     $ {sts} [NL] [SC] {st2} [ID]            {st} = [ID] {st2}                                                 
[AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                          $ {sts} [NL] [SC] {st2}                 match [ID]                                                        
[AS] [N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                          $ {sts} [NL] [SC] {e} [AS]              {st2} = [AS] {e}                                                  
[N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                               $ {sts} [NL] [SC] {e}                   match [AS]                                                        
[N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                               $ {sts} [NL] [SC] {e1} {ha} {t}         {e} = {t} {ha} {e1}                                               
[N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                               $ {sts} [NL] [SC] {e1} {ha} {ht} {f}    {t} = {f} {ht}                                                    
[N] [SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                               $ {sts} [NL] [SC] {e1} {ha} {ht} [N]    {f} = [N]                                                         
[SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                   $ {sts} [NL] [SC] {e1} {ha} {ht}        match [N]                                                         
[SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                   $ {sts} [NL] [SC] {e1} {ha} [~]         {ht} = [~]                                                        
[SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                   $ {sts} [NL] [SC] {e1} {ha}             epsilon pop [~]                                                   
[SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                   $ {sts} [NL] [SC] {e1} [~]              {ha} = [~]                                                        
[SC] [NL] [T] [OP] [ID] [SC] [NL] [T] [ON] [SC] [NL] $                                                                                                                                                                                                   $ {sts} [NL] [SC] {e1}                  epsilon pop [~]                                                   
